S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S15,S16,S17,S18,S21,S22,S23,S24,S25,S26,S27,S28,S29,S31,M3x,M3y,M3z,M1x,M1y,M1z,M4x,M4y,M4z,M2x,M2y,M2z,sesion_time_stamp
5,2,3,2,15,0,0,0,4,4,27,8,2,13,2,3,1,5,0,71,45,2,21,4,0,7,1,1.54396617412567,0.612066209316254,0.859217464923858,1.66116809844971,0.395491570234299,0.626129567623138,1.38562440872192,0.174932196736336,0.58184015750885,1.3822900056839,0.270329058170319,0.759255647659302,11_Sep_2023_14_40
4,5,0,3,12,0,0,3,2,3,23,5,5,14,8,5,0,5,1,66,43,1,15,4,2,9,5,1.54460144042969,0.612318217754364,0.859836101531982,1.66120886802673,0.395461112260818,0.626473605632782,1.38122582435608,0.180679082870483,0.5758997797966,1.37998795509338,0.27241039276123,0.755379557609558,11_Sep_2023_14_40
11,1,2,3,13,9,0,0,3,4,25,8,0,13,0,6,0,7,0,70,40,3,15,6,0,9,1,1.54542124271393,0.61259001493454,0.860502600669861,1.66118204593658,0.395528256893158,0.626984655857086,1.37704515457153,0.186942309141159,0.569951474666595,1.37762355804443,0.274449527263641,0.75138133764267,11_Sep_2023_14_40
12,1,6,3,12,0,2,0,4,4,24,1,1,15,1,6,0,6,0,68,43,6,21,3,3,9,2,1.54568958282471,0.612666845321655,0.861122906208038,1.66120982170105,0.395592302083969,0.627329289913178,1.37422204017639,0.191620633006096,0.565091371536255,1.37583410739899,0.276028007268906,0.74835330247879,11_Sep_2023_14_40
5,1,5,2,11,1,0,0,7,9,26,1,0,13,7,5,0,6,0,67,44,2,21,4,3,8,7,1.54627346992493,0.612838685512543,0.86160159111023,1.66127479076386,0.395702540874481,0.627578437328339,1.37110877037048,0.198467284440994,0.558925628662109,1.37351202964783,0.27811199426651,0.744234502315521,11_Sep_2023_14_40
7,1,3,4,11,1,1,0,10,5,31,6,0,11,0,5,8,6,0,71,42,2,22,4,4,15,3,1.54679918289185,0.613021314144135,0.862198173999786,1.66130030155182,0.395733714103699,0.628086745738983,1.36848902702332,0.205561935901642,0.552484333515167,1.37123548984528,0.280365169048309,0.740166008472443,11_Sep_2023_14_40
5,6,6,3,13,0,0,0,3,2,29,4,0,13,0,5,0,7,0,71,35,3,21,3,4,13,1,1.54719161987305,0.6131272315979,0.862566173076629,1.66134965419769,0.395891308784485,0.628091037273407,1.36665689945221,0.211305871605873,0.547732055187225,1.36948800086975,0.281844675540924,0.737276375293732,11_Sep_2023_14_40
7,1,3,3,13,0,0,0,2,6,36,2,2,14,0,4,0,5,1,77,36,6,18,3,3,21,2,1.54766869544983,0.613303244113922,0.863226592540741,1.66151988506317,0.396044969558716,0.628310024738312,1.36456453800201,0.219000533223152,0.54130345582962,1.36738657951355,0.284070134162903,0.733481049537659,11_Sep_2023_14_40
1,1,3,3,15,2,0,1,2,5,34,5,2,14,1,3,0,6,0,74,36,2,21,2,4,20,2,1.54809236526489,0.613493084907532,0.8639817237854,1.66164994239807,0.39611554145813,0.628671109676361,1.36250925064087,0.22695118188858,0.535126686096191,1.36566340923309,0.28626275062561,0.729208827018738,11_Sep_2023_14_40
7,0,4,5,16,1,0,0,3,6,33,0,3,14,1,6,0,0,4,75,35,3,18,5,3,19,1,1.54868292808533,0.613644897937775,0.864584982395172,1.66172254085541,0.396189093589783,0.62891149520874,1.36091923713684,0.233129903674126,0.530439794063568,1.36454010009766,0.288280099630356,0.726173341274262,11_Sep_2023_14_40
5,3,3,4,18,0,0,0,2,3,38,5,0,13,2,2,0,5,0,75,35,2,16,4,5,15,1,1.54923284053803,0.613786637783051,0.865031480789185,1.66192960739136,0.396361827850342,0.629172205924988,1.35882210731506,0.24159725010395,0.524307668209076,1.36322414875031,0.29098230600357,0.721796214580536,11_Sep_2023_14_40
5,2,3,2,16,1,0,1,3,8,39,6,2,10,2,5,13,4,0,79,34,2,21,3,5,16,3,1.54957664012909,0.613767385482788,0.865584433078766,1.66217958927155,0.396410465240479,0.629692435264587,1.35686540603638,0.250175833702087,0.518149614334106,1.36190676689148,0.293406873941422,0.717337608337402,11_Sep_2023_14_40
7,1,2,6,16,0,0,1,0,3,44,2,1,14,0,5,0,5,0,88,36,2,24,4,12,17,3,1.54983258247376,0.613802790641785,0.866006374359131,1.66233813762665,0.396643966436386,0.62978208065033,1.35531938076019,0.256905108690262,0.513453781604767,1.36108505725861,0.295019507408142,0.713917315006256,11_Sep_2023_14_40
