S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp,,,,,,,,,,,,,,,,,,,
8,0,1,1,4,2,36,18,33,3,11,10,3,2,0,0,1,1,17,38,0,0,13,53,9,1,90,1,23,105,0,24,-0.996276557,0.6376459,-0.162323058,-1.165617943,0.444292992,-0.002270968,-1.038145781,0.642091155,0.350116849,-0.950501382,0.596406758,0.148508549,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
3,0,0,0,5,4,34,18,33,5,14,10,1,1,1,0,5,2,13,37,1,0,15,57,10,2,89,2,23,99,3,21,-0.996298671,0.637657285,-0.162325636,-1.165615559,0.444300532,-0.002254551,-1.038225174,0.642193019,0.350094616,-0.950536132,0.596473932,0.148517996,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
9,1,3,0,2,3,31,15,29,10,15,13,5,3,2,0,1,3,16,36,0,4,15,55,5,0,93,0,23,98,1,21,-0.996298671,0.637657285,-0.162325636,-1.165615559,0.444300532,-0.002254551,-1.038225174,0.642193019,0.350094616,-0.950536132,0.596473932,0.148517996,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
6,0,3,3,3,3,30,15,32,3,14,10,0,4,2,0,1,3,15,35,1,0,14,55,11,4,93,2,24,96,1,23,-0.996313274,0.637676775,-0.162329018,-1.165614247,0.444314688,-0.002241023,-1.038385153,0.642312467,0.350141466,-0.950649381,0.59651953,0.148561791,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
7,3,3,0,2,4,27,17,32,5,12,9,1,3,0,1,5,6,17,37,0,1,14,56,8,3,91,1,23,101,0,21,-0.996313274,0.637676775,-0.162329018,-1.165614247,0.444314688,-0.002241023,-1.038385153,0.642312467,0.350141466,-0.950649381,0.59651953,0.148561791,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
5,1,3,0,5,4,28,17,35,6,15,14,0,2,11,1,1,11,15,37,1,2,16,57,11,3,93,0,25,99,0,24,-0.996347427,0.637694299,-0.162329659,-1.165607333,0.444309115,-0.002235126,-1.03841269,0.642492831,0.350172251,-0.9506405,0.596591294,0.148513675,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
12,0,11,0,3,2,23,18,33,5,15,12,2,2,3,1,2,1,15,36,1,2,10,52,9,2,91,1,25,104,1,19,-0.996363103,0.637714922,-0.162321016,-1.165610671,0.444297552,-0.002228318,-1.03837049,0.642783403,0.350374937,-0.950646162,0.596632898,0.148500353,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
8,1,1,2,11,1,25,17,34,7,15,10,5,2,2,7,1,4,15,30,4,1,13,55,7,3,89,5,26,99,0,21,-0.996363103,0.637714922,-0.162321016,-1.165610671,0.444297552,-0.002228318,-1.03837049,0.642783403,0.350374937,-0.950646162,0.596632898,0.148500353,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
7,1,2,0,0,2,25,17,33,5,16,14,1,2,1,0,1,2,16,36,5,2,17,55,11,4,92,2,24,104,1,20,-0.996397495,0.637720048,-0.162313983,-1.165629387,0.444287658,-0.002199256,-1.038433313,0.642950356,0.350420505,-0.950722754,0.596666396,0.148566127,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
11,1,6,1,3,4,28,13,35,3,14,13,2,2,2,0,1,1,16,38,1,0,12,53,9,11,93,2,27,101,2,21,-0.996397495,0.637720048,-0.162313983,-1.165629387,0.444287658,-0.002199256,-1.038433313,0.642950356,0.350420505,-0.950722754,0.596666396,0.148566127,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
