S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,MWx,MWy,MWz,MSx,MSy,MSz,MCx,MCy,MCz,MEx,MEy,MEz,session_time_stamp
26,34,11,0,11,0,10,0,7,7,9,5,1,11,1,0,11,23,16,6,5,36,9,21,15,0,1,6,0.0769228562712669,-0.17182731628418,0.12680147588253,-0.187153577804565,-0.331602364778519,0.576346576213837,0.0101243304088711,-0.457217544317246,0.308124035596847,-0.090375006198883,-0.143361002206802,0.241752162575722,29_Jan_2024_11_15
31,37,10,0,11,0,5,1,9,1,5,1,1,1,3,0,8,21,15,11,7,41,7,15,13,0,1,0,0.0769228562712669,-0.17182731628418,0.12680147588253,-0.187153577804565,-0.331602364778519,0.576346576213837,0.0101243304088711,-0.457217544317246,0.308124035596847,-0.090375006198883,-0.143361002206802,0.241752162575722,29_Jan_2024_11_15
27,34,10,0,11,0,4,0,9,5,8,7,0,1,5,0,5,23,15,4,8,43,7,19,14,3,0,0,0.0769188031554222,-0.171853333711624,0.126799881458282,-0.18717797100544,-0.331593006849289,0.576342284679413,0.0101018520072102,-0.457214921712875,0.308122962713242,-0.0903847590088844,-0.14336533844471,0.24175015091896,29_Jan_2024_11_15
29,38,12,0,11,11,0,1,8,9,9,6,7,0,5,20,18,0,3,2,3,0,0,1,1,2,1,0,0.0769188031554222,-0.171853333711624,0.126799881458282,-0.18717797100544,-0.331593006849289,0.576342284679413,0.0101018520072102,-0.457214921712875,0.308122962713242,-0.0903847590088844,-0.14336533844471,0.24175015091896,29_Jan_2024_11_15
15,21,19,0,16,0,4,8,3,0,0,1,2,2,0,0,3,17,10,11,10,20,10,12,6,0,3,0,0.0769048631191253,-0.171843066811562,0.126800358295441,-0.187200203537941,-0.331583738327026,0.576338768005371,0.0100803021341562,-0.457213848829269,0.308119356632233,-0.0903944224119186,-0.143368631601334,0.241748005151749,29_Jan_2024_11_15
17,19,14,0,14,0,1,0,7,4,3,1,0,0,3,1,4,17,6,12,8,17,11,13,5,0,2,0,0.0768457874655723,-0.171874523162842,0.126770436763763,-0.187260776758194,-0.331598788499832,0.576373815536499,0.0100149717181921,-0.457213401794434,0.308102995157242,-0.0904300063848495,-0.14337557554245,0.241722673177719,29_Jan_2024_11_15
18,22,15,2,15,1,3,0,0,0,2,0,1,0,0,1,7,16,6,8,9,20,7,12,7,0,3,0,0.0768415927886962,-0.171888962388039,0.126784414052963,-0.187283664941788,-0.331575840711594,0.576358556747437,0.0099651692435145,-0.45721110701561,0.308080464601517,-0.0904638543725013,-0.143370538949966,0.241696745157242,29_Jan_2024_11_15
19,23,17,7,15,0,3,12,14,1,1,0,4,2,0,9,5,14,7,11,9,20,9,10,6,0,0,0,0.076804369688034,-0.171843960881233,0.126772910356522,-0.187316238880157,-0.331544607877731,0.576337695121765,0.0098854033276438,-0.457211762666702,0.308036983013153,-0.0905241295695304,-0.143351688981056,0.241654366254806,29_Jan_2024_11_15
19,23,17,1,12,0,13,0,3,2,2,11,0,2,0,3,9,15,5,11,4,21,9,11,6,0,2,14,0.0768097788095474,-0.171812281012535,0.126774042844772,-0.187334984540939,-0.331529498100281,0.576329410076141,0.0098349265754222,-0.457211196422577,0.308004409074783,-0.0905683934688568,-0.143339544534683,0.241628810763359,29_Jan_2024_11_15
20,19,17,0,15,9,3,1,7,10,0,0,5,2,0,0,6,19,5,12,7,18,10,14,6,0,3,0,0.0767967700958252,-0.171760395169258,0.126781180500984,-0.187367901206017,-0.331513226032257,0.576320767402649,0.0097473263740539,-0.457207053899765,0.307950347661972,-0.0906245037913322,-0.143326535820961,0.241596549749374,29_Jan_2024_11_15
19,22,17,3,17,0,3,0,11,0,1,2,3,0,0,1,5,16,6,12,6,24,11,13,5,0,3,2,0.0767824277281761,-0.171733662486076,0.126783236861229,-0.187392339110374,-0.331498771905899,0.576314091682434,0.0096846716478466,-0.457196742296219,0.307904213666916,-0.0906508490443229,-0.143322169780731,0.241581410169601,29_Jan_2024_11_15
14,18,18,0,13,0,2,0,4,4,0,1,0,0,0,14,9,14,5,9,10,22,5,12,7,0,3,0,0.0767697021365165,-0.171713054180145,0.126790061593056,-0.187437638640404,-0.331473350524902,0.576299488544464,0.0095920823514461,-0.457179367542267,0.307841837406158,-0.0906819924712181,-0.143320173025131,0.241567075252533,29_Jan_2024_11_15
18,22,17,4,14,0,0,0,0,1,1,0,2,4,2,1,4,20,6,9,9,21,6,11,5,0,2,0,0.076764665544033,-0.171736210584641,0.126798629760742,-0.187490552663803,-0.331444591283798,0.576282203197479,0.009513396769762,-0.457157731056213,0.307809621095657,-0.0907158255577087,-0.143318563699722,0.241552472114563,29_Jan_2024_11_15
17,18,20,0,12,12,4,1,2,1,1,2,2,0,0,0,5,17,5,10,9,20,5,11,7,1,4,0,0.0767575949430465,-0.171751216053963,0.126796677708626,-0.187530547380447,-0.331419557332992,0.576269209384918,0.0094646802172064,-0.457142204046249,0.307791829109192,-0.0907423198223114,-0.143314644694328,0.241538673639297,29_Jan_2024_11_15
