S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp
1,0,13,3,134,21,6,15,2,148,11,23,4,13,140,17,-0.734299481,0.406120241,-0.009835733,-0.991725206,0.128634185,-0.017768946,-0.791726351,0.631098926,0.183807984,-0.984984696,0.307046324,0.122525342,28_Jun_2023_08_53
0,15,12,3,135,20,8,15,6,150,16,22,7,10,145,16,-0.385286599,-0.024327148,0.166205049,1.616659403,-1.318298697,0.304623365,1.098085165,-0.055696476,0.031015469,-0.50461334,-0.619406044,0.327643245,28_Jun_2023_08_53
0,0,9,2,129,21,3,11,1,145,16,24,3,13,145,15,-0.734726787,0.406001776,-0.010869631,-0.992690265,0.12885578,-0.016814277,-0.790408194,0.631085873,0.183120593,-0.984630942,0.307334274,0.123205133,28_Jun_2023_08_53
0,1,8,1,134,21,0,10,7,147,16,27,0,17,144,17,-0.734886467,0.406048566,-0.011436498,-0.993344784,0.128966182,-0.016461672,-0.789913416,0.630958378,0.182885081,-0.984669507,0.307534158,0.12353652,28_Jun_2023_08_53
14,0,12,6,131,21,2,15,5,151,16,25,7,14,144,17,-0.385286063,-0.024303064,0.16616182,1.616659403,-1.318298697,0.304623365,1.098029733,-0.055762857,0.031000396,-0.50461334,-0.619406044,0.327643245,28_Jun_2023_08_53
0,0,9,4,129,19,5,13,3,146,17,25,1,11,147,17,-0.734297514,0.406087458,-0.012650941,-0.993189633,0.128759116,-0.016990539,-0.789114535,0.630847633,0.181923851,-0.984002948,0.307463974,0.122672424,28_Jun_2023_08_53
0,2,7,7,135,18,6,10,7,148,13,24,0,16,143,13,-0.734147191,0.405786246,-0.013268138,-0.992362738,0.128506273,-0.018159784,-0.789159656,0.630731165,0.181089863,-0.983747363,0.307097763,0.121868625,28_Jun_2023_08_53
0,0,9,0,133,21,0,14,7,148,12,26,0,13,144,16,-0.385273814,-0.024271578,0.166153759,1.616659403,-1.318298697,0.304623365,1.098040104,-0.055734869,0.030994641,-0.50461334,-0.619406044,0.327643245,28_Jun_2023_08_53
7,0,12,3,129,19,1,12,6,149,13,24,3,15,142,18,-0.735183775,0.405132741,-0.014949088,-0.990723014,0.126079753,-0.020063782,-0.791894436,0.629806697,0.179436877,-0.983709633,0.304677516,0.12017367,28_Jun_2023_08_53
0,0,13,4,135,20,3,17,5,149,15,20,4,18,138,18,-0.735185206,0.40486902,-0.015877375,-0.990131557,0.124652028,-0.020684365,-0.793465078,0.629837632,0.177562997,-0.984142959,0.303767562,0.118761912,28_Jun_2023_08_53
0,0,7,1,136,16,3,15,6,146,17,25,3,13,138,16,-0.385259181,-0.024320124,0.166158631,1.616659403,-1.318298697,0.304623365,1.098075747,-0.05572632,0.031046305,-0.50461334,-0.619406044,0.327643245,28_Jun_2023_08_53
1,1,12,1,132,20,5,14,5,143,12,25,0,15,138,16,-0.735121489,0.403939605,-0.01812805,-0.990295589,0.12348637,-0.02328337,-0.794772446,0.629692435,0.173871428,-0.984947622,0.30338636,0.115102224,28_Jun_2023_08_53
1,0,11,9,134,18,4,10,4,141,15,25,2,17,145,18,-0.735043287,0.403566182,-0.019111084,-0.990226865,0.123830453,-0.024954099,-0.794422865,0.629794598,0.172339037,-0.984978497,0.303635567,0.113487475,28_Jun_2023_08_53
0,1,6,8,134,20,3,14,7,144,12,23,2,14,147,18,-0.385234326,-0.024329504,0.166155115,1.616659403,-1.318298697,0.304623365,1.098060012,-0.0557588,0.030997794,-0.50461334,-0.619406044,0.327643245,28_Jun_2023_08_53
2,1,13,7,133,15,3,14,0,144,16,25,7,17,149,18,-0.733707011,0.40320003,-0.02053752,-0.989336312,0.125012219,-0.027427699,-0.79269284,0.630270302,0.169974998,-0.984499276,0.304981321,0.110827871,28_Jun_2023_08_53
1,0,17,4,133,15,3,13,5,145,12,26,2,14,150,19,-0.385247707,-0.02434006,0.166188926,1.616659403,-1.318298697,0.304623365,1.098060846,-0.055748761,0.030982761,-0.50461334,-0.619406044,0.327643245,28_Jun_2023_08_53
0,0,8,4,133,20,6,15,7,146,14,27,0,16,154,19,-0.38526234,-0.024292627,0.166113064,1.616659403,-1.318298697,0.304623365,1.098050594,-0.055721078,0.031006526,-0.50461334,-0.619406044,0.327643245,28_Jun_2023_08_53
0,0,10,1,134,20,5,16,7,147,14,26,2,17,146,16,-0.731608689,0.402617991,-0.022786587,-0.986913443,0.122823313,-0.030722,-0.793468356,0.629667044,0.16680482,-0.983220816,0.303444624,0.106834583,28_Jun_2023_08_53
0,1,8,6,134,15,7,14,8,147,15,23,4,20,147,14,-0.731433094,0.402547717,-0.023365643,-0.985113144,0.121794969,-0.032197703,-0.794423461,0.629090011,0.166451648,-0.982651949,0.302047402,0.105698921,28_Jun_2023_08_53
1,0,10,5,136,19,2,10,5,144,14,27,4,19,145,16,-0.385268152,-0.024306355,0.166154161,1.616659403,-1.318298697,0.304623365,1.098051786,-0.055716634,0.031029675,-0.50461334,-0.619406044,0.327643245,28_Jun_2023_08_53
12,4,13,0,126,16,5,14,8,145,12,23,4,21,145,17,-0.731349826,0.402549088,-0.024881722,-0.981932819,0.120068565,-0.034808856,-0.795932829,0.628347397,0.165346578,-0.981631219,0.300061733,0.103491932,28_Jun_2023_08_53
1,0,10,4,130,19,1,11,8,142,13,21,4,20,145,16,-0.731379926,0.402672857,-0.025432456,-0.982061684,0.119592264,-0.035644531,-0.796431541,0.628051043,0.165062755,-0.981702507,0.299604356,0.102914639,28_Jun_2023_08_53
0,4,5,5,130,21,2,14,2,144,13,20,3,21,149,19,-0.385237247,-0.024331473,0.166127369,1.616659403,-1.318298697,0.304623365,1.098088622,-0.055725683,0.030986063,-0.50461334,-0.619406044,0.327643245,28_Jun_2023_08_53
10,0,9,5,126,18,3,15,6,145,13,25,3,19,150,19,-0.731599569,0.403167039,-0.026285587,-0.983248055,0.118815266,-0.035714794,-0.797692716,0.627557695,0.164962128,-0.982239127,0.298789293,0.102721974,28_Jun_2023_08_53
1,0,9,4,125,21,2,14,5,147,15,24,6,21,148,20,-0.385250866,-0.024325076,0.16616562,1.616659403,-1.318298697,0.304623365,1.098064065,-0.055713065,0.031020345,-0.50461334,-0.619406044,0.327643245,28_Jun_2023_08_53
0,0,5,5,124,23,3,10,5,148,14,27,5,18,149,19,-0.385251492,-0.024289573,0.166146159,1.616659403,-1.318298697,0.304623365,1.09807241,-0.055720292,0.031032525,-0.50461334,-0.619406044,0.327643245,28_Jun_2023_08_53
0,0,3,6,125,18,7,11,6,146,15,25,6,17,144,22,-0.731537759,0.404376119,-0.027044972,-0.983479917,0.119049549,-0.036229271,-0.79821074,0.627182901,0.165609032,-0.982375145,0.29875654,0.102557138,28_Jun_2023_08_53
0,1,7,5,112,24,1,15,6,148,13,24,3,17,148,21,-0.73118329,0.404971868,-0.027374361,-0.983724833,0.119815372,-0.037078001,-0.797865093,0.627301991,0.165759817,-0.982549191,0.299304336,0.101998523,28_Jun_2023_08_53
0,0,3,10,116,20,2,12,5,146,14,27,5,16,149,20,-0.385268509,-0.024355264,0.16614373,1.616659403,-1.318298697,0.304623365,1.098104,-0.055704344,0.031045852,-0.50461334,-0.619406044,0.327643245,28_Jun_2023_08_53
0,0,8,6,118,24,3,14,4,149,16,26,0,17,149,22,-0.730698466,0.405713975,-0.028220806,-0.984152973,0.120846719,-0.03884935,-0.797749341,0.62748301,0.165446296,-0.982768059,0.300106406,0.100577489,28_Jun_2023_08_53
0,0,5,7,119,25,2,14,9,148,16,23,4,18,146,24,-0.385282427,-0.024294041,0.166190743,1.616659403,-1.318298697,0.304623365,1.09808743,-0.055740282,0.031024188,-0.50461334,-0.619406044,0.327643245,28_Jun_2023_08_53
0,0,8,4,122,28,5,13,6,149,16,25,0,20,146,21,-0.385272622,-0.024318507,0.166170806,1.616659403,-1.318298697,0.304623365,1.098077059,-0.055734627,0.031018909,-0.50461334,-0.619406044,0.327643245,28_Jun_2023_08_53
0,0,10,4,125,24,3,17,5,154,13,27,3,17,148,23,-0.730510175,0.406483173,-0.029572565,-0.983913362,0.120876528,-0.03984376,-0.798263133,0.627855778,0.164051831,-0.982829571,0.30032289,0.099277206,28_Jun_2023_08_53
0,1,10,3,126,26,1,13,6,150,13,26,0,20,145,20,-0.385268629,-0.024288557,0.16616556,1.616659403,-1.318298697,0.304623365,1.098062038,-0.05575886,0.030999245,-0.50461334,-0.619406044,0.327643245,28_Jun_2023_08_53
0,0,6,2,126,29,0,16,6,154,11,21,0,19,147,23,-0.385281533,-0.024317171,0.166188762,1.616659403,-1.318298697,0.304623365,1.098120689,-0.055741958,0.031053288,-0.50461334,-0.619406044,0.327643245,28_Jun_2023_08_53
0,1,10,8,133,28,9,15,6,151,8,19,5,19,143,20,-0.731798768,0.405843884,-0.029940221,-0.985487759,0.120067202,-0.039489701,-0.799516737,0.627142608,0.164131716,-0.983714581,0.29946059,0.09979137,28_Jun_2023_08_53
