S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp,,,,,,,,,,,,,,,,,,,,,,,,
11,1,5,40,14,0,14,1,11,0,47,3,0,4,0,1,1,8,15,11,26,6,53,23,1,89,9,16,23,4,0,0,1.55874967575073,0.648375034332275,0.722604513168335,1.63862693309784,0.413498461246491,0.505823016166687,1.09284257888794,0.554400086402893,0.575495541095734,1.24586951732636,0.493628948926926,0.724740862846375,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
11,13,7,39,11,0,7,0,19,3,47,2,2,4,1,2,2,9,14,12,20,9,50,21,4,89,9,11,27,8,0,0,1.55888259410858,0.648402452468872,0.722504556179047,1.6384950876236,0.413556426763535,0.505479753017426,1.09144723415375,0.555147230625153,0.582026839256287,1.24659824371338,0.49414336681366,0.728747844696045,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
11,0,5,40,12,5,6,0,11,1,45,2,0,2,1,2,0,9,12,8,21,8,55,22,1,90,11,19,25,8,0,0,1.5589405298233,0.648458063602448,0.722239077091217,1.63842821121216,0.413556635379791,0.505167722702026,1.09014308452606,0.5560222864151,0.588371574878693,1.24731850624084,0.495024561882019,0.732862114906311,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
16,2,5,39,13,0,4,1,12,1,47,5,0,3,1,13,1,9,15,9,17,3,53,25,3,90,10,18,22,11,0,0,1.55895221233368,0.648510098457336,0.721893787384033,1.63834321498871,0.413512796163559,0.504908084869385,1.08875727653503,0.557107627391815,0.594680309295654,1.24803173542023,0.496169239282608,0.736971974372864,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
15,0,6,41,10,1,7,0,11,1,50,5,0,0,0,4,1,6,13,9,21,5,53,24,1,92,9,21,25,7,0,1,1.55885481834412,0.648604452610016,0.721362173557282,1.63831830024719,0.413519233465195,0.504625618457794,1.08764338493347,0.558214366436005,0.60091507434845,1.24870145320892,0.497419208288193,0.741214454174042,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
15,8,6,39,10,0,4,1,9,0,52,2,0,8,1,0,1,11,13,9,18,1,51,23,1,97,10,17,23,10,0,0,1.55891788005829,0.64879846572876,0.721129298210144,1.63831436634064,0.413506090641022,0.504417836666107,1.0868307352066,0.559071838855743,0.605581223964691,1.2492663860321,0.498336434364319,0.744187593460083,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
12,1,7,38,9,2,10,0,11,0,48,2,1,7,1,6,1,6,14,6,18,6,53,20,0,96,11,21,24,9,0,1,1.55891358852386,0.648907542228699,0.720540165901184,1.6383056640625,0.41345551609993,0.504178166389465,1.08592069149017,0.56026703119278,0.611602902412415,1.25016415119171,0.499580144882202,0.748037934303284,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
17,13,6,41,8,2,9,0,10,1,48,4,0,3,1,4,1,5,16,10,15,7,55,19,1,94,10,16,26,8,1,0,1.5590101480484,0.649101614952087,0.720113039016724,1.63823843002319,0.413436859846115,0.503859758377075,1.08501482009888,0.561533868312836,0.617454767227173,1.25107574462891,0.500921368598938,0.75175392627716,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
17,7,5,38,7,0,9,3,10,2,50,3,0,6,1,8,2,10,17,11,18,10,53,18,1,98,7,20,22,10,0,0,1.5591881275177,0.649349093437195,0.719842493534088,1.63821578025818,0.41324582695961,0.503777980804443,1.08400225639343,0.5630162358284,0.623444557189941,1.25199723243713,0.502458989620209,0.755318999290466,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
16,1,3,37,7,0,5,0,11,1,47,3,0,6,1,3,1,14,18,12,19,8,53,19,1,92,10,22,24,8,0,0,1.55903029441834,0.649567365646362,0.719055652618408,1.63819766044617,0.413205474615097,0.503351449966431,1.08306908607483,0.564472734928131,0.6295565366745,1.25295758247375,0.504152536392212,0.758809864521027,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
16,2,7,40,7,0,10,0,11,1,46,6,0,0,2,4,5,8,17,7,17,6,49,20,0,97,7,28,23,2,0,1,1.55930840969086,0.64986664056778,0.718857765197754,1.63823294639587,0.413047820329666,0.503268241882324,1.08231639862061,0.565922856330872,0.635715007781982,1.25400328636169,0.505741000175476,0.762175858020783,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
13,0,5,41,8,0,8,0,9,0,39,6,0,0,6,2,3,14,20,8,18,4,51,19,3,97,9,27,23,5,4,1,1.55943942070007,0.650036334991455,0.718590199947357,1.63823962211609,0.412869989871979,0.503253996372223,1.08171629905701,0.567268252372742,0.640073299407959,1.25483334064484,0.506836593151093,0.76463770866394,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
10,0,0,36,3,1,9,15,13,0,43,2,1,3,0,3,2,14,17,12,20,6,51,19,0,95,7,29,21,9,0,0,1.55945348739624,0.650309860706329,0.718006253242493,1.63820719718933,0.412867695093155,0.502674639225006,1.08106589317322,0.568786084651947,0.645720720291138,1.25605857372284,0.508006513118744,0.767866194248199,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
11,2,3,35,15,0,10,7,11,0,38,4,1,2,0,3,0,8,19,10,17,0,55,18,0,94,6,25,27,7,0,1,1.5595475435257,0.650574147701263,0.717429757118225,1.63822853565216,0.412601739168167,0.502809286117554,1.08095836639404,0.570343792438507,0.652196884155273,1.25744640827179,0.50910222530365,0.771036565303803,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
12,2,2,35,5,1,8,2,11,0,35,2,0,4,0,3,0,14,18,9,25,4,54,21,0,93,8,19,22,8,2,0,1.55979990959167,0.650929093360901,0.717123925685883,1.63825225830078,0.412497401237488,0.502569317817688,1.0804957151413,0.571492373943329,0.658415377140045,1.25891518592834,0.510222494602203,0.774158656597137,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
14,0,4,37,5,0,10,0,15,1,36,4,1,4,0,4,2,12,21,13,18,5,49,19,1,96,8,26,23,8,13,2,1.55988729000092,0.651185750961304,0.716741681098938,1.63829958438873,0.412524521350861,0.502034604549408,1.08017671108246,0.572650372982025,0.662589728832245,1.26009547710419,0.511149525642395,0.776489675045013,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
11,3,6,36,5,0,7,0,11,1,30,6,1,8,1,2,1,17,18,16,20,2,54,18,1,99,7,25,21,7,0,0,1.55998957157135,0.651510953903198,0.716190338134766,1.638387799263,0.412365108728409,0.501892030239105,1.08017194271088,0.573914289474487,0.668904304504395,1.26170074939728,0.512264549732208,0.779669106006622,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
