S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp
1,39,1,1,120,18,348,2,37,211,3,66,1,76,1,105,8,53,10,12,10,1,19,196,25,222,11,176,230,-1.48662948608398,0.180347859859467,0.44162055850029,-1.80584704875946,0.18446509540081,0.438430309295654,-1.56626343727112,0.537391662597656,0.388141185045242,-1.76456296443939,0.302252352237701,0.559131324291229,14_Jun_2023_08:30
0,42,0,2,119,18,346,1,36,221,2,69,0,66,1,105,6,35,12,15,10,1,18,197,28,220,4,159,230,-1.4860463142395,0.179390713572502,0.439248889684677,-1.80544650554657,0.18439707159996,0.438456684350967,-1.56762218475342,0.535363972187042,0.385068297386169,-1.76473379135132,0.301391363143921,0.559596121311188,14_Jun_2023_08:30
1,40,1,1,102,18,336,2,38,218,3,69,1,66,0,104,10,40,16,17,10,0,13,187,27,217,6,160,224,-1.48552858829498,0.179282680153847,0.439563125371933,-1.80591785907745,0.184406697750092,0.438174158334732,-1.56765925884247,0.534756004810333,0.384165912866592,-1.76573038101196,0.302263617515564,0.558680951595306,14_Jun_2023_08:30
0,37,1,1,93,20,328,1,34,205,4,67,1,66,0,106,6,43,11,18,11,1,13,190,24,207,15,163,228,-1.48595404624939,0.17939493060112,0.440948337316513,-1.80642139911652,0.184686988592148,0.437596589326858,-1.56720340251923,0.53484457731247,0.383843779563904,-1.76632440090179,0.303074419498444,0.557921528816223,14_Jun_2023_08:30
0,39,1,1,91,18,327,1,33,201,5,65,1,63,0,104,6,44,11,17,6,0,18,186,28,205,12,166,234,-1.4855238199234,0.179438948631287,0.441933661699295,-1.80645442008972,0.184852227568626,0.437491536140442,-1.56629407405853,0.534870147705078,0.383970022201538,-1.76629734039307,0.303485900163651,0.557532787322998,14_Jun_2023_08:30
0,44,1,1,93,20,324,0,35,212,6,66,1,62,1,106,7,41,17,18,11,1,17,190,25,215,5,168,242,-1.48479402065277,0.179306507110596,0.443050771951675,-1.80635249614716,0.184841960668564,0.4371258020401,-1.56572043895721,0.534156382083893,0.383792519569397,-1.7663449048996,0.303652018308639,0.557235598564148,14_Jun_2023_08:30
0,38,2,1,94,16,319,2,34,210,4,67,0,65,0,107,9,45,12,14,11,1,17,191,25,219,3,159,242,-1.48396217823029,0.179359704256058,0.443292379379272,-1.80611526966095,0.184855431318283,0.43687042593956,-1.56524407863617,0.534063696861267,0.383650422096252,-1.76609373092651,0.303769379854202,0.556866705417633,14_Jun_2023_08:30
1,35,1,1,93,18,318,2,33,213,3,67,1,63,1,106,10,39,9,16,11,0,23,195,26,213,4,164,240,-1.48358130455017,0.179235875606537,0.443561285734177,-1.8061751127243,0.184927299618721,0.436813533306122,-1.56510639190674,0.533752858638763,0.383386373519898,-1.76615154743195,0.303761571645737,0.556783974170685,14_Jun_2023_08:30
1,36,0,3,94,18,320,0,34,215,3,69,2,60,2,105,8,41,11,19,9,2,17,190,26,218,10,172,243,-1.48374545574188,0.179017022252083,0.444124579429626,-1.8062424659729,0.184890300035477,0.436935842037201,-1.56513667106628,0.533456146717072,0.383438557386398,-1.76623892784119,0.303680568933487,0.55689936876297,14_Jun_2023_08:30
1,36,3,0,94,19,339,4,36,213,4,68,1,58,0,98,10,69,8,16,14,1,20,177,26,204,14,174,242,-1.48387598991394,0.179857760667801,0.444450378417969,-1.80636262893677,0.185060650110245,0.436870843172073,-1.56439030170441,0.535130143165588,0.384520471096039,-1.76625061035156,0.304236620664597,0.556645154953003,14_Jun_2023_08:30
0,41,0,2,84,22,319,5,35,198,2,66,0,62,1,102,5,63,5,13,13,0,24,160,32,198,17,154,245,-1.48575699329376,0.181304603815079,0.445007115602493,-1.80723321437836,0.185353696346283,0.437405794858933,-1.56708252429962,0.537659645080566,0.387769877910614,-1.76729559898376,0.304189264774322,0.557759582996368,14_Jun_2023_08:30
1,29,0,1,71,19,315,1,38,203,1,67,1,64,1,110,9,68,10,17,13,0,24,164,27,204,14,166,248,-1.48362636566162,0.183378145098686,0.443642199039459,-1.80751943588257,0.18472084403038,0.438324570655823,-1.56942296028137,0.538860619068146,0.390518844127655,-1.768599152565,0.302798181772232,0.559442281723022,14_Jun_2023_08:30
