S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp
1,3,0,2,0,2,1,7,4,2,1,23,1,44,1,1,4,2,0,0,4,0,1,15,31,1,1,5,4,-1.45502042770386,0.213409647345543,0.757631421089172,-1.6951025724411,0.114364191889763,1.03636348247528,-2.19197511672974,0.032651163637638,1.4472484588623,-1.59162092208862,0.254258275032043,1.00277829170227,14_Jun_2023_08_35
1,2,1,2,1,3,1,6,7,3,1,29,0,41,1,2,4,3,0,1,4,2,1,15,31,1,0,5,4,-1.47735178470612,0.216176643967628,0.764070868492126,-1.69907140731812,0.114948578178883,1.03736162185669,-2.19199705123901,0.032575629651547,1.44729089736938,-1.60133159160614,0.257811903953552,1.00435364246368,14_Jun_2023_08_35
1,4,2,2,2,2,1,6,7,2,0,24,1,43,4,1,4,4,0,1,4,1,1,17,28,2,0,3,3,-1.49372732639313,0.218556359410286,0.769076347351074,-1.70212829113007,0.115422986447811,1.03783619403839,-2.19202208518982,0.032576974481344,1.44730424880981,-1.60942959785461,0.26065331697464,1.00450932979584,14_Jun_2023_08_35
1,0,2,3,0,3,1,5,7,6,0,24,1,42,3,2,3,4,0,1,5,0,0,16,32,0,1,5,4,-1.50180459022522,0.219296023249626,0.770473957061768,-1.70303618907928,0.11535407602787,1.03725147247314,-2.19198894500732,0.032557774335146,1.44729912281036,-1.61380100250244,0.262071371078491,1.00365304946899,14_Jun_2023_08_35
0,2,1,0,1,3,1,4,7,2,0,24,0,41,3,1,3,2,1,0,5,1,3,15,28,1,4,4,4,-1.50265610218048,0.219133734703064,0.76748538017273,-1.70410811901093,0.115921899676323,1.03736162185669,-2.19200968742371,0.032561853528023,1.44729173183441,-1.61476743221283,0.262464553117752,1.00196933746338,14_Jun_2023_08_35
1,4,2,3,1,2,2,7,6,3,0,26,0,44,1,2,4,2,0,2,5,0,1,15,31,1,0,4,5,-1.49627876281738,0.219151228666306,0.761804461479187,-1.70398783683777,0.115606009960175,1.03726446628571,-2.19199752807617,0.032545298337936,1.44729804992676,-1.61301147937775,0.261518061161041,1.00078415870667,14_Jun_2023_08_35
1,2,1,1,1,3,0,6,7,3,0,25,2,44,1,0,5,1,0,1,4,1,2,15,30,3,1,3,4,-1.47747886180878,0.218788668513298,0.753706157207489,-1.70148003101349,0.115467272698879,1.0368173122406,-2.19202280044556,0.032548148185015,1.44732248783112,-1.60511946678162,0.258773058652878,1.00017023086548,14_Jun_2023_08_35
1,4,0,1,1,1,1,4,7,3,1,26,0,46,2,1,7,1,1,0,5,0,1,15,30,2,1,4,4,-1.43489682674408,0.211997240781784,0.745186030864716,-1.69392395019531,0.114393435418606,1.03446447849274,-2.19195318222046,0.032644663006067,1.44726765155792,-1.58751273155212,0.251737862825394,0.995879411697388,14_Jun_2023_08_35
0,2,2,3,1,3,1,3,7,3,0,26,1,43,0,2,5,2,0,0,7,3,1,15,28,3,3,3,7,-1.3823516368866,0.205904930830002,0.744625687599182,-1.67086124420166,0.120300993323326,1.03918671607971,-2.19194793701172,0.0328124538064,1.44713234901428,-1.54585444927216,0.248967051506042,1.0012754201889,14_Jun_2023_08_35
2,1,1,0,1,4,0,3,7,3,0,26,1,43,0,2,8,2,0,9,4,0,1,16,31,2,1,4,4,-1.35342133045197,0.218390434980392,0.758712112903595,-1.54890966415405,0.10879074037075,1.00766062736511,-2.19195580482483,0.032832965254784,1.44714856147766,-1.4326137304306,0.249340295791626,1.00247848033905,14_Jun_2023_08_35
1,4,1,3,4,2,0,4,7,3,1,24,0,43,2,0,5,1,0,1,5,0,0,18,29,1,2,3,5,-1.34689235687256,0.243209198117256,0.772986650466919,-1.35827434062958,0.08406700193882,0.970829784870148,-2.19235944747925,0.032662682235241,1.44706034660339,-1.29175686836243,0.257300019264221,1.00477409362793,14_Jun_2023_08_35
2,8,2,2,2,3,2,2,5,2,1,28,1,45,0,4,4,2,2,1,4,2,2,17,30,1,0,4,5,-1.35543012619019,0.271476149559021,0.786117136478424,-1.19838571548462,0.098793156445026,1.0205305814743,-2.19196081161499,0.032854992896319,1.44722211360931,-1.17543339729309,0.291183948516846,1.01234710216522,14_Jun_2023_08_35
0,4,1,0,1,2,1,3,6,2,1,26,0,44,0,2,4,3,0,1,4,5,1,17,29,2,1,3,6,-1.3663033246994,0.29656508564949,0.801507592201233,-1.11710476875305,0.140657156705856,1.08452975749969,-2.19197559356689,0.032872706651688,1.44720673561096,-1.10683989524841,0.322170168161392,1.02178680896759,14_Jun_2023_08_35
