S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S15,S16,S17,S18,S21,S22,S23,S24,S25,S26,S27,S28,S29,S31,M2x,M2y,M2z,M1x,M1y,M1z,M4x,M4y,M4z,M3x,M3y,M3z,sesion_time_stamp
6,2,8,9,11,0,6,0,8,0,43,4,0,1,7,3,8,11,0,101,14,0,85,6,0,64,1,1.542934418,0.651649415,0.773611367,1.668902993,0.420170426,0.596868217,1.116550207,0.549334288,0.540013134,1.236086249,0.503832877,0.672532201,11_Sep_2023_13_59
7,1,4,6,17,0,4,13,12,0,50,0,0,0,5,6,2,10,0,107,9,2,87,5,0,58,0,1.541950226,0.651168525,0.773216546,1.66887033,0.420146644,0.5970667,1.117560148,0.53681314,0.536859751,1.237239003,0.496394843,0.670691729,11_Sep_2023_13_59
4,6,6,7,7,1,5,0,10,1,36,3,0,4,12,7,3,7,0,108,12,0,88,7,3,56,0,1.541310191,0.650779366,0.772963583,1.668874264,0.420125723,0.597139359,1.118527889,0.527474701,0.534496009,1.238090277,0.490857452,0.66926229,11_Sep_2023_13_59
11,1,8,9,7,0,4,7,7,0,36,6,0,1,11,5,6,9,0,110,12,0,88,6,7,54,0,1.540473223,0.65042305,0.772754908,1.66883719,0.420036852,0.597254813,1.120512962,0.514735579,0.531076849,1.239600539,0.483382434,0.667476118,11_Sep_2023_13_59
5,0,3,6,11,0,5,0,10,1,40,6,0,0,9,3,6,7,4,103,8,0,87,6,14,57,0,1.539553881,0.650041521,0.772557914,1.668706298,0.420030892,0.597247243,1.123168111,0.502057314,0.527750731,1.241239429,0.475663155,0.665837228,11_Sep_2023_13_59
7,0,3,5,11,0,8,0,9,1,37,9,3,0,13,10,0,9,0,114,12,2,88,6,0,72,0,1.538604259,0.649439752,0.772215784,1.668563843,0.420023113,0.597289085,1.126078129,0.489116877,0.524732471,1.243173122,0.467862725,0.664465666,11_Sep_2023_13_59
5,0,7,8,13,0,8,1,9,1,43,5,1,6,5,6,5,7,0,121,12,1,85,5,0,72,0,1.537790895,0.649009407,0.771891236,1.668550968,0.420026302,0.597263396,1.128471851,0.4794918,0.522655845,1.244612098,0.462317467,0.663579226,11_Sep_2023_13_59
6,0,5,8,12,0,5,0,17,0,38,6,0,0,10,7,3,12,0,111,15,0,84,6,10,67,0,1.536830306,0.648447037,0.771315515,1.668599248,0.420019358,0.597489834,1.131670833,0.467163831,0.519938767,1.246501327,0.455399185,0.662424266,11_Sep_2023_13_59
5,8,6,9,11,0,4,1,7,0,33,8,0,0,8,11,4,11,0,117,12,2,87,5,13,61,0,1.535846472,0.648030698,0.770813882,1.668693304,0.419848979,0.597600102,1.135412216,0.455054998,0.517122746,1.248849392,0.44880563,0.661228955,11_Sep_2023_13_59
3,1,3,5,10,1,0,0,3,1,33,6,1,0,7,10,2,10,0,98,11,1,89,6,11,65,0,1.535155296,0.647687137,0.770460904,1.668702602,0.419665247,0.597727239,1.138295293,0.445953488,0.515049219,1.250391841,0.443582237,0.66031462,11_Sep_2023_13_59
6,2,5,5,12,9,4,0,5,0,33,7,5,0,6,7,4,10,1,108,14,1,90,6,11,69,0,1.534251451,0.64724654,0.770088553,1.6686064,0.419417471,0.597738564,1.142739415,0.433579624,0.512755871,1.252510905,0.436497778,0.659470677,11_Sep_2023_13_59
5,2,4,6,12,0,3,0,2,4,34,8,3,5,4,7,4,7,2,104,10,3,87,7,11,72,1,1.533148408,0.64675045,0.769811749,1.668416619,0.419249743,0.597790778,1.147217512,0.421204358,0.511003137,1.254887104,0.429119676,0.658902228,11_Sep_2023_13_59
6,1,3,7,12,1,5,0,7,1,37,4,0,0,7,9,4,4,5,110,16,2,88,6,11,70,1,1.532107592,0.646166265,0.769126832,1.668304324,0.419116467,0.597803414,1.151203394,0.409364134,0.509946585,1.257398367,0.422074288,0.658657074,11_Sep_2023_13_59
6,0,5,6,11,1,5,0,5,9,35,7,2,2,5,9,4,13,6,108,13,1,91,6,11,75,0,1.53131485,0.645809591,0.768709481,1.668287992,0.418996722,0.598040998,1.154569507,0.400772214,0.509520769,1.25940764,0.417098463,0.658551157,11_Sep_2023_13_59
3,1,4,3,7,0,4,11,6,1,35,4,1,1,7,6,4,9,0,110,13,2,81,7,10,63,0,1.530292749,0.645277917,0.767980874,1.668357372,0.418805152,0.598197997,1.159029484,0.389739454,0.508741021,1.262238741,0.410761505,0.658378363,11_Sep_2023_13_59
