S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,MCx,MCy,MCz,MSx,MSy,MSz,MEx,MEy,MEz,MWx,MWy,MWz,sesion_time_stamp
36,14,16,0,2,1,1,10,1,1,3,2,3,7,2,0,0,17,8,17,26,87,2,42,10,11,11,0,0.07174412906169891,-0.10906870663166046,0.24709011614322662,-0.20895899832248688,-0.3098900616168976,0.5648072957992554,-0.02258382923901081,-0.4610143005847931,0.3109011650085449,-0.12041981518268585,-0.08156479895114899,0.2666846513748169,29_Jan_2024_11_07
39,9,16,4,5,1,1,0,6,3,4,6,0,10,2,0,3,11,8,17,26,82,1,42,1,2,10,0,0.0685475617647171,-0.1101771891117096,0.2460949569940567,-0.20880627632141113,-0.30986371636390686,0.5648401379585266,-0.022536974400281906,-0.4610125720500946,0.3108530640602112,-0.12324132770299911,-0.08201010525226593,0.2661963105201721,29_Jan_2024_11_07
34,11,14,0,6,0,2,0,4,3,4,6,0,8,3,2,1,15,11,13,25,85,4,44,1,2,10,1,0.06655888259410858,-0.11091284453868866,0.24554452300071716,-0.20870031416416168,-0.3098457455635071,0.5648738145828247,-0.02250593900680542,-0.46101754903793335,0.3108091950416565,-0.12517321109771729,-0.08233627676963806,0.26592618227005005,29_Jan_2024_11_07
37,15,17,0,2,0,1,0,2,1,4,6,3,10,1,0,2,12,7,14,24,84,4,45,3,2,8,14,0.06328751146793365,-0.11206401884555817,0.2446371167898178,-0.20854024589061737,-0.30982258915901184,0.5649368762969971,-0.022460035979747772,-0.46101322770118713,0.31073808670043945,-0.12808316946029663,-0.08286689966917038,0.26554250717163086,29_Jan_2024_11_07
36,14,15,0,7,0,4,0,3,1,4,4,0,10,6,2,1,17,6,13,22,81,3,43,8,2,18,4,0.0601993165910244,-0.11281339824199677,0.24386024475097656,-0.20839108526706696,-0.3098275661468506,0.565003514289856,-0.022413311526179314,-0.4610044062137604,0.3106653690338135,-0.13101284205913544,-0.08344410359859467,0.2651931345462799,29_Jan_2024_11_07
34,13,16,0,5,0,1,0,1,1,2,5,2,11,1,0,12,18,6,15,28,85,4,41,8,3,10,0,0.058091096580028534,-0.11331623792648315,0.2432892918586731,-0.2082933634519577,-0.3098425567150116,0.565053403377533,-0.02238258346915245,-0.46099504828453064,0.31061655282974243,-0.13296827673912048,-0.08384259790182114,0.26497358083724976,29_Jan_2024_11_07
31,15,21,0,5,3,3,0,3,1,8,6,8,9,7,1,2,14,4,11,29,83,6,40,0,0,12,0,0.05522847920656204,-0.1141689196228981,0.24263277649879456,-0.2081742137670517,-0.3099323511123657,0.5651149153709412,-0.022356752306222916,-0.460968941450119,0.31051144003868103,-0.13589341938495636,-0.08448082208633423,0.26467281579971313,29_Jan_2024_11_07
33,14,16,0,3,0,1,0,0,0,0,5,2,8,2,0,1,16,6,14,29,84,3,39,0,6,10,0,0.05318931117653847,-0.11466874927282333,0.24212855100631714,-0.20809800922870636,-0.30997586250305176,0.5651746988296509,-0.02234022133052349,-0.46095314621925354,0.3104463219642639,-0.1378372609615326,-0.08492216467857361,0.2644827663898468,29_Jan_2024_11_07
32,14,18,0,5,1,4,0,3,1,12,5,0,10,3,1,11,16,7,16,29,84,4,40,8,3,10,0,0.04973841831088066,-0.11506690829992294,0.2411288619041443,-0.2080288827419281,-0.31001654267311096,0.5652622580528259,-0.022319376468658447,-0.46091020107269287,0.31036803126335144,-0.14072152972221375,-0.0856020376086235,0.26420527696609497,29_Jan_2024_11_07
30,15,15,0,6,0,3,0,4,1,4,6,2,15,1,0,1,16,8,15,28,84,3,42,3,7,9,12,0.04681248962879181,-0.1158861368894577,0.2403419017791748,-0.20798827707767487,-0.31007757782936096,0.5653524994850159,-0.022296298295259476,-0.46085843443870544,0.31030139327049255,-0.143599271774292,-0.08632535487413406,0.2639448344707489,29_Jan_2024_11_07
32,13,16,1,3,1,2,0,3,0,2,4,0,15,2,3,4,17,5,14,33,86,2,45,1,1,8,0,0.04501543939113617,-0.11654812097549438,0.23996411263942719,-0.20796063542366028,-0.31015342473983765,0.5654113292694092,-0.022278975695371628,-0.4608233571052551,0.31025856733322144,-0.1455090045928955,-0.08681932091712952,0.2637918293476105,29_Jan_2024_11_07
32,14,17,14,5,1,13,0,13,0,1,9,0,10,3,7,11,14,6,16,31,87,0,48,1,3,8,0,0.042388807982206345,-0.11735336482524872,0.2393551468849182,-0.2079332172870636,-0.3102601170539856,0.5654940605163574,-0.02225566655397415,-0.4607739746570587,0.31019195914268494,-0.1483408361673355,-0.08754490315914154,0.26361310482025146,29_Jan_2024_11_07
32,13,14,0,2,0,11,0,2,2,3,5,0,9,2,0,4,17,4,12,30,83,3,45,0,0,9,0,0.040512606501579285,-0.11792204529047012,0.23896728456020355,-0.20790208876132965,-0.310356467962265,0.5655547380447388,-0.02224203199148178,-0.46073925495147705,0.3101445436477661,-0.15022948384284973,-0.08804310858249664,0.2635064721107483,29_Jan_2024_11_07
32,16,13,0,6,2,0,3,2,3,4,3,2,10,4,0,3,11,4,11,30,82,4,48,0,0,10,0,0.0374833345413208,-0.11848147213459015,0.238367959856987,-0.20789363980293274,-0.31041061878204346,0.5656160116195679,-0.022227048873901367,-0.4606958329677582,0.3100762963294983,-0.1530972421169281,-0.08876833319664001,0.26344743371009827,29_Jan_2024_11_07
32,11,15,2,5,1,3,0,4,1,4,0,0,21,3,3,12,15,7,13,27,78,3,45,2,6,7,8,0.034378841519355774,-0.11906994134187698,0.23772987723350525,-0.20784953236579895,-0.3104917109012604,0.5656878352165222,-0.022191833704710007,-0.46067672967910767,0.31003284454345703,-0.15597638487815857,-0.08946102112531662,0.26345306634902954,29_Jan_2024_11_07
35,13,16,0,7,0,0,0,9,0,5,4,0,16,1,0,6,12,6,14,29,81,4,47,0,0,7,0,0.03232371062040329,-0.11944079399108887,0.23734085261821747,-0.20781199634075165,-0.31055504083633423,0.5657393336296082,-0.0221721101552248,-0.46067240834236145,0.3100002408027649,-0.15789078176021576,-0.08992995321750641,0.26348552107810974,29_Jan_2024_11_07
