S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp
0,0,11,8,226,15,5,14,4,138,16,20,8,9,590,23,-0.765487373,0.407099366,0.034449611,-1.00287199,0.129367679,-0.012195969,-0.852435887,0.632041097,0.217329711,-1.033080697,0.309257776,0.129011944,28_Jun_2023_08_50
0,0,9,9,226,20,8,15,1,140,15,13,12,14,641,22,-0.765092373,0.407284915,0.034648195,-1.002606511,0.129823253,-0.013387132,-0.85242188,0.631888986,0.217831656,-1.033030391,0.309450716,0.128182754,28_Jun_2023_08_50
4,0,10,7,246,13,4,13,3,142,19,17,12,13,600,23,-0.385258973,-0.024320817,0.166159257,1.616659403,-1.318298697,0.304623365,1.098049641,-0.055695754,0.031019604,-0.50461334,-0.619406044,0.327643245,28_Jun_2023_08_50
0,0,15,4,252,20,5,18,0,138,19,15,8,11,607,28,-0.763970673,0.407525092,0.035860773,-0.99951005,0.131905854,-0.018579774,-0.852171481,0.631638527,0.218871713,-1.033910155,0.310915112,0.123153582,28_Jun_2023_08_50
0,0,10,8,264,20,0,18,0,121,17,17,10,12,602,31,-0.763864815,0.407806933,0.036835883,-0.997967422,0.138544291,-0.029204674,-0.851853311,0.632439613,0.219690785,-1.036101818,0.314274251,0.11553783,28_Jun_2023_08_50
0,4,13,11,260,23,10,16,4,111,18,9,13,15,582,35,-0.763999164,0.408029169,0.038165435,-0.998123705,0.151483357,-0.047707308,-0.851363361,0.632199585,0.221640497,-1.039209247,0.319846451,0.104592502,28_Jun_2023_08_50
0,0,9,10,289,20,5,20,1,105,17,14,12,17,579,38,-0.76391542,0.40832749,0.039699335,-0.998305857,0.170223117,-0.072762541,-0.850925565,0.632517815,0.223369792,-1.042664886,0.328169525,0.090197749,28_Jun_2023_08_50
0,0,14,7,297,20,4,19,0,94,13,13,21,13,565,36,-0.76385361,0.408763349,0.041681007,-1.001066327,0.197911516,-0.104618125,-0.850755095,0.633511782,0.22519879,-1.046028852,0.34003973,0.072757475,28_Jun_2023_08_50
0,0,12,13,324,21,13,20,0,93,18,12,16,12,592,38,-0.38525185,-0.024302224,0.166167542,1.616659403,-1.318298697,0.304623365,1.098075628,-0.055677127,0.031023204,-0.50461334,-0.619406044,0.327643245,28_Jun_2023_08_50
3,0,13,15,345,19,10,10,5,111,14,12,16,13,602,38,-0.763773084,0.410024703,0.045452662,-0.999504328,0.271635115,-0.167933553,-0.8507092,0.633857131,0.229532495,-1.04889524,0.371820152,0.035471156,28_Jun_2023_08_50
0,0,8,7,333,13,14,17,5,125,16,11,13,14,582,37,-0.762517869,0.41102916,0.046810444,-0.996606708,0.311070323,-0.193374291,-0.850453675,0.634219706,0.231113493,-1.049014211,0.390385836,0.018692639,28_Jun_2023_08_50
0,1,5,12,347,8,20,16,6,135,17,10,17,12,613,41,-0.385233223,-0.024290476,0.16616118,1.616659403,-1.318298697,0.304623365,1.098082542,-0.055696927,0.031006349,-0.50461334,-0.619406044,0.327643245,28_Jun_2023_08_50
0,1,3,10,320,10,21,12,4,170,11,12,15,10,631,35,-0.759294927,0.413039029,0.048249386,-0.9863621,0.378741652,-0.22721374,-0.849384129,0.635487139,0.231687874,-1.045939803,0.424925238,-0.007273092,28_Jun_2023_08_50
0,1,1,4,303,9,43,10,5,160,16,13,12,12,629,40,-0.75832969,0.414131045,0.048473779,-0.976623595,0.412472099,-0.239124998,-0.848480284,0.63593781,0.231995076,-1.042634964,0.442849994,-0.017943738,28_Jun_2023_08_50
0,4,10,7,300,2,41,15,6,171,19,15,12,15,601,38,-0.385257423,-0.024322925,0.16611068,1.616659403,-1.318298697,0.304623365,1.098039746,-0.055715051,0.031010849,-0.50461334,-0.619406044,0.327643245,28_Jun_2023_08_50
0,4,0,1,277,4,38,13,5,174,13,17,18,16,608,41,-0.756699026,0.41628471,0.04818245,-0.961283684,0.485870302,-0.254466474,-0.846584857,0.636757791,0.233422205,-1.036248446,0.480901748,-0.033722598,28_Jun_2023_08_50
0,4,5,6,257,3,30,15,5,155,16,17,23,10,581,43,-0.75497663,0.417377979,0.047352213,-0.95777154,0.521102667,-0.257145822,-0.845036805,0.63726604,0.233149037,-1.03471911,0.499619305,-0.038430728,28_Jun_2023_08_50
2,7,10,2,241,5,21,12,5,181,13,18,13,14,577,42,-0.385242939,-0.02428419,0.166178435,1.616659403,-1.318298697,0.304623365,1.098015904,-0.055670254,0.031033115,-0.50461334,-0.619406044,0.327643245,28_Jun_2023_08_50
0,1,4,5,234,4,15,11,4,190,10,29,13,11,565,47,-0.752847731,0.418724477,0.045050856,-0.956438601,0.580699265,-0.253748417,-0.84199053,0.637669623,0.233258128,-1.034967661,0.535020292,-0.040217038,28_Jun_2023_08_50
0,0,4,2,210,6,16,11,0,183,18,21,9,12,557,53,-0.752051592,0.418617129,0.043506693,-0.961011052,0.597518086,-0.250292659,-0.840224445,0.637723863,0.232606038,-1.03884697,0.548007727,-0.037618667,28_Jun_2023_08_50
1,0,6,1,202,9,11,10,1,176,11,20,12,11,552,51,-0.385270983,-0.024314037,0.166221038,1.616659403,-1.318298697,0.304623365,1.098055243,-0.055701494,0.03100354,-0.50461334,-0.619406044,0.327643245,28_Jun_2023_08_50
0,1,0,2,182,11,11,14,5,172,14,18,16,10,563,55,-0.751590073,0.418177456,0.039951161,-1.003899813,0.623536944,-0.246160954,-0.836611211,0.638470411,0.229708448,-1.053805113,0.566675067,-0.026877902,28_Jun_2023_08_50
1,2,3,1,174,10,9,18,4,165,9,22,16,10,566,56,-0.752451181,0.417826951,0.038018059,-1.030058503,0.632410705,-0.240433216,-0.834887922,0.638850689,0.228539392,-1.062510967,0.572671831,-0.019137772,28_Jun_2023_08_50
0,2,4,5,170,8,9,18,3,166,9,21,14,12,559,57,-0.385263383,-0.024270767,0.166115418,1.616659403,-1.318298697,0.304623365,1.098076224,-0.055660669,0.030997174,-0.50461334,-0.619406044,0.327643245,28_Jun_2023_08_50
